time signal1
0.0000 0.0000 
0.0167 0.0000 
0.0333 0.0000 
0.0500 0.0000 
0.0667 0.0000 
0.0833 0.0000 
0.1000 0.0000 
0.1166 0.0000 
0.1333 0.0000 
0.1500 0.0000 
0.1666 0.0000 
0.1833 0.0000 
0.2000 0.0000 
0.2167 0.0000 
0.2333 0.0000 
0.2500 0.0000 
0.2666 0.0000 
0.2834 0.0000 
0.3000 0.0000 
0.3167 0.0000 
0.3333 0.0000 
0.3501 0.0000 
0.3667 0.0000 
0.3833 0.0000 
0.4167 0.0000 
0.4333 0.0000 
0.4500 0.0000 
0.4666 0.0000 
0.4834 0.0000 
0.5000 0.0000 
0.5166 0.0000 
0.5332 0.0000 
0.5498 0.0000 
0.5669 0.0000 
0.5835 0.0000 
0.6001 0.0000 
0.6167 0.0000 
0.6333 0.0000 
0.6499 0.0000 
0.6665 0.0000 
0.6831 0.0000 
0.7002 0.0000 
0.7168 0.0000 
0.7334 0.0000 
0.7500 0.0000 
0.7666 0.0000 
0.7832 0.0000 
0.7998 0.0000 
0.8169 0.0000 
0.8335 0.0269 
0.8501 0.0269 
0.8667 0.0269 
0.8833 0.1078 
0.8999 0.1078 
0.9165 0.1132 
0.9331 0.1132 
0.9502 0.1132 
0.9668 0.2156 
0.9834 0.2156 
1.0000 0.3395 
1.0166 0.3395 
1.0332 0.3395 
1.0498 0.3395 
1.0664 0.5012 
1.0830 0.5012 
1.0996 0.7868 
1.1162 0.7868 
1.1338 0.7868 
1.1504 1.0778 
1.1670 1.0778 
1.1836 1.4982 
1.2002 1.4982 
1.2168 2.0371 
1.2334 2.0371 
1.2500 2.0371 
1.2666 2.6191 
1.2832 2.6191 
1.2998 2.6191 
1.3164 3.2550 
1.3330 3.2550 
1.3496 3.2550 
1.3662 3.9610 
1.3838 3.9610 
1.4004 4.6993 
1.4170 4.6993 
1.4336 4.6993 
1.4502 5.5131 
1.4668 5.5131 
1.4834 5.5131 
1.5000 6.2837 
1.5166 6.2837 
1.5332 7.1514 
1.5498 7.1514 
1.5664 7.1514 
1.5830 7.8897 
1.6162 7.8897 
1.6338 7.8897 
1.6504 8.6172 
1.6670 8.6172 
1.6836 9.3502 
1.7002 9.3502 
1.7168 9.3502 
1.7334 10.0454
1.7500 10.0454
1.7666 10.0454
1.7832 10.6597
1.7998 10.6597
1.8164 10.6597
1.8330 11.2417
1.8496 11.2417
1.8662 11.8130
1.8838 11.8130
1.9004 11.8130
1.9170 12.2280
1.9336 12.2280
1.9502 12.2280
1.9668 12.7022
1.9834 12.7022
2.0000 12.9932
2.0176 12.9932
2.0332 12.9932
2.0508 13.2357
2.0664 13.2357
2.0840 13.2357
2.0996 13.2950
2.1172 13.2950
2.1328 13.2950
2.1504 13.4674
2.1660 13.4674
2.1836 13.5267
2.1992 13.5267
2.2168 13.5267
2.2324 13.5806
2.2500 13.5806
2.2676 13.5806
2.2832 13.5806
2.3008 13.5806
2.3164 13.5806
2.3340 13.5806
2.3496 13.5806
2.3672 13.5806
2.3828 13.5806
